,Date,Open,High,Low,Close,Adj Close,Volume
333,2014-01-02,398.799988,399.359985,394.019989,397.970001,397.970001,2137800
334,2014-01-03,398.290009,402.709991,396.220001,396.440002,396.440002,2210200
335,2014-01-06,395.850006,397.0,388.420013,393.630005,393.630005,3170600
336,2014-01-07,395.040009,398.470001,394.290009,398.029999,398.029999,1916000
337,2014-01-08,398.470001,403.0,396.040009,401.920013,401.920013,2316500
338,2014-01-09,403.709991,406.890015,398.440002,401.01001,401.01001,2103000
339,2014-01-10,402.529999,403.76001,393.799988,397.660004,397.660004,2679500
340,2014-01-13,397.980011,399.779999,388.450012,390.980011,390.980011,2844900
341,2014-01-14,392.130005,398.630005,391.290009,397.540009,397.540009,2340100
342,2014-01-15,398.940002,399.309998,392.529999,395.869995,395.869995,2678300
343,2014-01-16,393.679993,399.290009,389.410004,395.799988,395.799988,2601200
344,2014-01-17,394.26001,403.48999,393.660004,399.609985,399.609985,4505100
345,2014-01-21,403.0,407.799988,401.600006,407.049988,407.049988,3122100
346,2014-01-22,408.0,408.059998,402.0,404.540009,404.540009,2060500
347,2014-01-23,401.0,406.170013,397.790009,399.869995,399.869995,3025400
348,2014-01-24,398.160004,400.200012,387.269989,387.600006,387.600006,4458400
349,2014-01-27,390.5,394.100006,380.48999,386.279999,386.279999,3936800
350,2014-01-28,387.399994,394.73999,387.119995,394.429993,394.429993,2894500
351,2014-01-29,392.160004,392.850006,383.23999,384.200012,384.200012,3382300
352,2014-01-30,393.769989,406.25,387.700012,403.01001,403.01001,10473900
353,2014-01-31,371.76001,375.450012,357.76001,358.690002,358.690002,16154800
354,2014-02-03,358.980011,360.850006,340.100006,346.149994,346.149994,10280800
355,2014-02-04,349.589996,354.0,344.019989,347.950012,347.950012,4812900
356,2014-02-05,346.0,349.369995,337.730011,346.450012,346.450012,4435400
357,2014-02-06,347.399994,354.820007,347.399994,354.589996,354.589996,3335700
358,2014-02-07,358.980011,361.799988,352.48999,361.079987,361.079987,4330500
